loinc_code,observation_name,category,range_low,range_high,unit,notes
8302-2,Body Height,anthropometric,,,cm,No clinical range; tracked for growth/BMI calculation
29463-7,Body Weight,anthropometric,,,kg,No single range; context-dependent
39156-5,Body Mass Index,anthropometric,18.5,24.9,kg/m2,Underweight <18.5; Overweight 25-29.9; Obese 30+
59576-9,Body Mass Index Percentile Per Age and Gender,anthropometric,5,85,%,Pediatric; Underweight <5th; Overweight 85-95th; Obese >95th
77606-2,Weight-for-length Per Age and Sex,anthropometric,5,85,%,Pediatric growth indicator
9843-4,Head Occipital-frontal Circumference,anthropometric,,,cm,Pediatric; age/sex dependent
8480-6,Systolic Blood Pressure,vital-signs,90,120,mm[Hg],Elevated 120-129; High Stage 1 130-139; High Stage 2 140+
8462-4,Diastolic Blood Pressure,vital-signs,60,80,mm[Hg],High Stage 1 80-89; High Stage 2 90+
8478-0,Mean Blood Pressure,vital-signs,70,100,mm[Hg],Derived from systolic and diastolic
8867-4,Heart Rate,vital-signs,60,100,/min,Bradycardia <60; Tachycardia >100
9279-1,Respiratory Rate,vital-signs,12,20,/min,Bradypnea <12; Tachypnea >20
8310-5,Body Temperature,vital-signs,36.1,37.2,Cel,Hypothermia <36.1; Fever >37.2 (38 clinically)
2708-6,Oxygen Saturation in Arterial Blood,vital-signs,95,100,%,Hypoxemia <90; Concerning <95
2713-6,Oxygen Saturation,vital-signs,95,100,%,Pulse ox equivalent
10230-1,Left Ventricular Ejection Fraction,vital-signs,55,70,%,Reduced <40; Borderline 40-49; Preserved 50+
44963-7,Capillary Refill Time of Nail Bed,vital-signs,,,,Categorical; normal <2 seconds
4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,metabolic,0,5.6,%,Prediabetes 5.7-6.4; Diabetes 6.5+
2339-0,Glucose in Blood,metabolic,70,99,mg/dL,Fasting; Prediabetes 100-125; Diabetes 126+
2345-7,Glucose in Serum or Plasma,metabolic,70,99,mg/dL,Fasting glucose reference
5792-7,Glucose in Urine by Test Strip,metabolic,0,0.8,mg/dL,Glycosuria present above renal threshold ~180 mg/dL blood glucose
2093-3,Cholesterol in Serum or Plasma,lipid,0,199,mg/dL,Borderline 200-239; High 240+
2571-8,Triglycerides,lipid,0,149,mg/dL,Borderline 150-199; High 200-499; Very high 500+
18262-6,Low Density Lipoprotein Cholesterol,lipid,0,99,mg/dL,Near optimal 100-129; Borderline 130-159; High 160+
2085-9,High Density Lipoprotein Cholesterol,lipid,40,999,mg/dL,Low risk >60; High risk <40
33914-3,Glomerular Filtration Rate/1.73 sq M Predicted,renal,60,999,mL/min/{1.73_m2},CKD G1 90+; G2 60-89; G3 30-59; G4 15-29; G5 <15
2160-0,Creatinine in Serum or Plasma,renal,0.6,1.2,mg/dL,Female 0.5-1.1; Male 0.7-1.3
38483-4,Creatinine,renal,0.6,1.2,mg/dL,Duplicate code; same range as 2160-0
3094-0,Urea Nitrogen in Serum or Plasma,renal,6,20,mg/dL,BUN; elevated may indicate kidney dysfunction or dehydration
14959-1,Microalbumin Creatinine Ratio,renal,0,30,mg/g,Microalbuminuria 30-300; Macroalbuminuria >300
5804-0,Protein in Urine by Test Strip,renal,0,14,mg/dL,Proteinuria suggests renal involvement
1751-7,Albumin in Serum or Plasma,hepatic,3.4,5.4,g/dL,Low albumin may indicate liver disease or malnutrition
1742-6,Alanine Aminotransferase in Serum or Plasma,hepatic,7,56,U/L,Elevated indicates hepatocellular damage
1920-8,Aspartate Aminotransferase in Serum or Plasma,hepatic,10,40,U/L,Elevated in liver or muscle disease
6768-6,Alkaline Phosphatase in Serum or Plasma,hepatic,44,147,U/L,Elevated in liver or bone disease
1975-2,Bilirubin Total in Serum or Plasma,hepatic,0.1,1.2,mg/dL,Jaundice typically >2.5
42719-5,Bilirubin Total Elevated,hepatic,0.1,1.2,mg/dL,Same reference as 1975-2
10834-0,Globulin in Serum by Calculation,hepatic,2,3.5,g/dL,Elevated in chronic inflammation or liver disease
2885-2,Protein in Serum or Plasma,hepatic,6,8.3,g/dL,Total protein; includes albumin and globulin
718-7,Hemoglobin in Blood,hematology,12,17.5,g/dL,Female 12-15.5; Male 13.5-17.5
